layer_type,R,S,C,K,X,Y,P,stride,pooling_size,pooling_stride,input_neuron,output_neuron,batch
conv_pooling,3,3,3,64,64,64,1,1,2,2,-1,-1,-1
conv_pooling,3,3,64,128,32,32,1,1,2,2,-1,-1,-1
conv,3,3,128,256,16,16,1,1,-1,-1,-1,-1,-1
conv_pooling,3,3,256,256,16,16,1,1,2,2,-1,-1,-1
conv,3,3,256,512,8,8,1,1,-1,-1,-1,-1,-1
conv_pooling,3,3,512,512,8,8,1,1,2,2,-1,-1,-1
conv,3,3,512,512,4,4,1,1,-1,-1,-1,-1,-1
conv_pooling,3,3,512,512,4,4,1,1,2,2,-1,-1,-1
fc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2048,4096,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4096,4096,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4096,1000,1
